drive-wheels,body-style,price
rwd,convertible,13495.0
rwd,convertible,16500.0
rwd,hatchback,16500.0
fwd,sedan,13950.0
4wd,sedan,17450.0
fwd,sedan,15250.0
fwd,sedan,17710.0
fwd,wagon,18920.0
fwd,sedan,23875.0
rwd,sedan,16430.0
rwd,sedan,16925.0
rwd,sedan,20970.0
rwd,sedan,21105.0
rwd,sedan,24565.0
rwd,sedan,30760.0
rwd,sedan,41315.0
rwd,sedan,36880.0
fwd,hatchback,5151.0
fwd,hatchback,6295.0
fwd,sedan,6575.0
fwd,hatchback,5572.0
fwd,hatchback,6377.0
fwd,hatchback,7957.0
fwd,hatchback,6229.0
fwd,sedan,6692.0
fwd,sedan,7609.0
fwd,sedan,8558.0
fwd,wagon,8921.0
fwd,hatchback,12964.0
fwd,hatchback,6479.0
fwd,hatchback,6855.0
fwd,hatchback,5399.0
fwd,hatchback,6529.0
fwd,hatchback,7129.0
fwd,sedan,7295.0
fwd,wagon,7295.0
fwd,hatchback,7895.0
fwd,hatchback,9095.0
fwd,sedan,8845.0
fwd,sedan,10295.0
fwd,sedan,12945.0
fwd,sedan,10345.0
rwd,sedan,6785.0
rwd,hatchback,11048.0
rwd,sedan,32250.0
rwd,sedan,35550.0
rwd,sedan,36000.0
fwd,hatchback,5195.0
fwd,hatchback,6095.0
fwd,hatchback,6795.0
fwd,sedan,6695.0
fwd,sedan,7395.0
rwd,hatchback,10945.0
rwd,hatchback,11845.0
rwd,hatchback,13645.0
rwd,hatchback,15645.0
fwd,hatchback,8845.0
fwd,sedan,8495.0
fwd,hatchback,10595.0
fwd,sedan,10245.0
fwd,sedan,10795.0
fwd,hatchback,11245.0
rwd,sedan,18280.0
rwd,sedan,18344.0
rwd,sedan,25552.0
rwd,wagon,28248.0
rwd,hardtop,28176.0
rwd,sedan,31600.0
rwd,sedan,34184.0
rwd,convertible,35056.0
rwd,sedan,40960.0
rwd,hardtop,45400.0
rwd,hatchback,16503.0
fwd,hatchback,5389.0
fwd,hatchback,6189.0
fwd,hatchback,6669.0
fwd,hatchback,7689.0
fwd,hatchback,9959.0
fwd,hatchback,8499.0
fwd,hatchback,12629.0
fwd,hatchback,14869.0
fwd,hatchback,14489.0
fwd,sedan,6989.0
fwd,sedan,8189.0
fwd,sedan,9279.0
fwd,sedan,9279.0
fwd,sedan,5499.0
fwd,sedan,7099.0
fwd,sedan,6649.0
fwd,sedan,6849.0
fwd,wagon,7349.0
fwd,sedan,7299.0
fwd,hatchback,7799.0
fwd,sedan,7499.0
fwd,wagon,7999.0
fwd,hardtop,8249.0
fwd,hatchback,8949.0
fwd,sedan,9549.0
fwd,sedan,13499.0
fwd,wagon,14399.0
fwd,sedan,13499.0
rwd,hatchback,17199.0
rwd,hatchback,19699.0
rwd,hatchback,18399.0
rwd,sedan,11900.0
rwd,sedan,13200.0
rwd,wagon,12440.0
rwd,wagon,13860.0
rwd,sedan,15580.0
rwd,sedan,16900.0
rwd,wagon,16695.0
rwd,wagon,17075.0
rwd,sedan,16630.0
rwd,sedan,17950.0
rwd,sedan,18150.0
fwd,hatchback,5572.0
fwd,hatchback,7957.0
fwd,hatchback,6229.0
fwd,sedan,6692.0
fwd,sedan,7609.0
fwd,wagon,8921.0
rwd,hatchback,12764.0
rwd,hatchback,22018.0
rwd,hardtop,32528.0
rwd,hardtop,34028.0
rwd,convertible,37028.0
fwd,wagon,9295.0
fwd,hatchback,9895.0
fwd,hatchback,11850.0
fwd,sedan,12170.0
fwd,hatchback,15040.0
fwd,sedan,15510.0
fwd,hatchback,18150.0
fwd,sedan,18620.0
fwd,hatchback,5118.0
fwd,hatchback,7053.0
4wd,hatchback,7603.0
fwd,sedan,7126.0
fwd,sedan,7775.0
fwd,sedan,9960.0
4wd,sedan,9233.0
4wd,sedan,11259.0
fwd,wagon,7463.0
fwd,wagon,10198.0
4wd,wagon,8013.0
4wd,wagon,11694.0
fwd,hatchback,5348.0
fwd,hatchback,6338.0
fwd,hatchback,6488.0
fwd,wagon,6918.0
4wd,wagon,7898.0
4wd,wagon,8778.0
fwd,sedan,6938.0
fwd,hatchback,7198.0
fwd,sedan,7898.0
fwd,hatchback,7788.0
fwd,sedan,7738.0
fwd,hatchback,8358.0
fwd,sedan,9258.0
rwd,sedan,8058.0
rwd,hatchback,8238.0
rwd,sedan,9298.0
rwd,hatchback,9538.0
rwd,hardtop,8449.0
rwd,hardtop,9639.0
rwd,hatchback,9989.0
rwd,hardtop,11199.0
rwd,hatchback,11549.0
rwd,convertible,17669.0
fwd,sedan,8948.0
fwd,sedan,10698.0
fwd,hatchback,9988.0
fwd,sedan,10898.0
fwd,hatchback,11248.0
rwd,hatchback,16558.0
rwd,hatchback,15998.0
rwd,sedan,15690.0
rwd,wagon,15750.0
fwd,sedan,7775.0
fwd,sedan,7975.0
fwd,sedan,7995.0
fwd,sedan,8195.0
fwd,sedan,8495.0
fwd,sedan,9495.0
fwd,sedan,9995.0
fwd,convertible,11595.0
fwd,hatchback,9980.0
fwd,sedan,13295.0
fwd,sedan,13845.0
fwd,wagon,12290.0
rwd,sedan,12940.0
rwd,wagon,13415.0
rwd,sedan,15985.0
rwd,wagon,16515.0
rwd,sedan,18420.0
rwd,wagon,18950.0
rwd,sedan,16845.0
rwd,sedan,19045.0
rwd,sedan,21485.0
rwd,sedan,22470.0
rwd,sedan,22625.0
